name,provider_series_slug,scoreboard_candidate_url,status
Summer Olympics Women's Cricket Competition 2028,,,missing-provider-slug-do-not-request
Summer Olympics Men's Cricket Competition 2028,,,missing-provider-slug-do-not-request
Bangladesh Women in England ODI Series 2027,24619,https://site.api.espn.com/apis/site/v2/sports/cricket/24619/scoreboard,requires-series-validation
New Zealand in England ODI Series 2027,24620,https://site.api.espn.com/apis/site/v2/sports/cricket/24620/scoreboard,requires-series-validation
Bangladesh Women in England T20I Series 2027,24621,https://site.api.espn.com/apis/site/v2/sports/cricket/24621/scoreboard,requires-series-validation
New Zealand in England T20I Series 2027,24623,https://site.api.espn.com/apis/site/v2/sports/cricket/24623/scoreboard,requires-series-validation
The Ashes 2027,24627,https://site.api.espn.com/apis/site/v2/sports/cricket/24627/scoreboard,requires-series-validation
Bangladesh in England Test Match 2027,24629,https://site.api.espn.com/apis/site/v2/sports/cricket/24629/scoreboard,requires-series-validation
Pakistan in England ODI Series 2027,24636,https://site.api.espn.com/apis/site/v2/sports/cricket/24636/scoreboard,requires-series-validation
Australia Women in South Africa ODI Series 2026/27,24561,https://site.api.espn.com/apis/site/v2/sports/cricket/24561/scoreboard,requires-series-validation
Bangladesh in Nepal T20I Series 2026/27,24792,https://site.api.espn.com/apis/site/v2/sports/cricket/24792/scoreboard,requires-series-validation
150th Anniversary Test Match 2026/27,24264,https://site.api.espn.com/apis/site/v2/sports/cricket/24264/scoreboard,requires-series-validation
Rose Bowl 2026/27,24266,https://site.api.espn.com/apis/site/v2/sports/cricket/24266/scoreboard,requires-series-validation
New Zealand Women in Australia T20I Series 2026/27,24267,https://site.api.espn.com/apis/site/v2/sports/cricket/24267/scoreboard,requires-series-validation
ICC Women's Champions Trophy 2027/28,,,missing-provider-slug-do-not-request
Sri Lanka in New Zealand Test Series 2026/27,24459,https://site.api.espn.com/apis/site/v2/sports/cricket/24459/scoreboard,requires-series-validation
Sri Lanka in New Zealand T20I Series 2026/27,24460,https://site.api.espn.com/apis/site/v2/sports/cricket/24460/scoreboard,requires-series-validation
Border-Gavaskar Trophy 2026/27,24280,https://site.api.espn.com/apis/site/v2/sports/cricket/24280/scoreboard,requires-series-validation
Sri Lanka in New Zealand ODI Series 2026/27,24461,https://site.api.espn.com/apis/site/v2/sports/cricket/24461/scoreboard,requires-series-validation
England in South Africa ODI Series 2026/27,24195,https://site.api.espn.com/apis/site/v2/sports/cricket/24195/scoreboard,requires-series-validation
Zimbabwe in India ODI Series 2026/27,24282,https://site.api.espn.com/apis/site/v2/sports/cricket/24282/scoreboard,requires-series-validation
India Women in South Africa T20I Series 2026/27,24651,https://site.api.espn.com/apis/site/v2/sports/cricket/24651/scoreboard,requires-series-validation
Sri Lanka in India T20I Series 2026/27,24284,https://site.api.espn.com/apis/site/v2/sports/cricket/24284/scoreboard,requires-series-validation
India Women in South Africa Test Match 2026/27,24557,https://site.api.espn.com/apis/site/v2/sports/cricket/24557/scoreboard,requires-series-validation
Basil D'Oliveira Trophy 2026/27,24196,https://site.api.espn.com/apis/site/v2/sports/cricket/24196/scoreboard,requires-series-validation
Sri Lanka in India ODI Series 2026/27,24285,https://site.api.espn.com/apis/site/v2/sports/cricket/24285/scoreboard,requires-series-validation
Bangladesh Women in New Zealand T20I Series 2026/27,24464,https://site.api.espn.com/apis/site/v2/sports/cricket/24464/scoreboard,requires-series-validation
Bangladesh Women in New Zealand ODI Series 2026/27,24463,https://site.api.espn.com/apis/site/v2/sports/cricket/24463/scoreboard,requires-series-validation
Bangladesh in South Africa T20I Series 2026/27,24197,https://site.api.espn.com/apis/site/v2/sports/cricket/24197/scoreboard,requires-series-validation
Trans-Tasman Trophy 2026/27,24269,https://site.api.espn.com/apis/site/v2/sports/cricket/24269/scoreboard,requires-series-validation
India Women in South Africa ODI Series 2026/27,24558,https://site.api.espn.com/apis/site/v2/sports/cricket/24558/scoreboard,requires-series-validation
India A in Nepal unofficial T20I Series 2026/27,24579,https://site.api.espn.com/apis/site/v2/sports/cricket/24579/scoreboard,requires-series-validation
Bangladesh in South Africa ODI Series 2026/27,24199,https://site.api.espn.com/apis/site/v2/sports/cricket/24199/scoreboard,requires-series-validation
England Women Under-19s in India unofficial T20I Series 2026/27,24763,https://site.api.espn.com/apis/site/v2/sports/cricket/24763/scoreboard,requires-series-validation
England in Australia T20I Series 2026/27,24271,https://site.api.espn.com/apis/site/v2/sports/cricket/24271/scoreboard,requires-series-validation
India in New Zealand Test Series 2026/27,24466,https://site.api.espn.com/apis/site/v2/sports/cricket/24466/scoreboard,requires-series-validation
Bangladesh in South Africa Test Series 2026/27,24200,https://site.api.espn.com/apis/site/v2/sports/cricket/24200/scoreboard,requires-series-validation
England in Australia ODI Series 2026/27,24272,https://site.api.espn.com/apis/site/v2/sports/cricket/24272/scoreboard,requires-series-validation
Sri Lanka in Pakistan Test Series 2026/27,24704,https://site.api.espn.com/apis/site/v2/sports/cricket/24704/scoreboard,requires-series-validation
Afghanistan v Zimbabwe Test Series 2026/27,24797,https://site.api.espn.com/apis/site/v2/sports/cricket/24797/scoreboard,requires-series-validation
India in New Zealand ODI Series 2026/27,24467,https://site.api.espn.com/apis/site/v2/sports/cricket/24467/scoreboard,requires-series-validation
West Indies in Bangladesh Test Series 2026/27,24753,https://site.api.espn.com/apis/site/v2/sports/cricket/24753/scoreboard,requires-series-validation
Afghanistan v Zimbabwe T20I Series 2026/27,24798,https://site.api.espn.com/apis/site/v2/sports/cricket/24798/scoreboard,requires-series-validation
India A tour of New Zealand 2026/27,24805,https://site.api.espn.com/apis/site/v2/sports/cricket/24805/scoreboard,requires-series-validation
India A in New Zealand unofficial Test Series 2026/27,24754,https://site.api.espn.com/apis/site/v2/sports/cricket/24754/scoreboard,requires-series-validation
Zimbabwe Women in India ODI Series 2026/27,24369,https://site.api.espn.com/apis/site/v2/sports/cricket/24369/scoreboard,requires-series-validation
India in New Zealand T20I Series 2026/27,24468,https://site.api.espn.com/apis/site/v2/sports/cricket/24468/scoreboard,requires-series-validation
Pakistan ODI Tri-Series 2026/27,,,missing-provider-slug-do-not-request
Bangladesh Women in Australia T20I Series 2026/27,24274,https://site.api.espn.com/apis/site/v2/sports/cricket/24274/scoreboard,requires-series-validation
UAE ODI Tri-Series 2026/27,,,missing-provider-slug-do-not-request
Zimbabwe Women in India T20I Series 2026/27,24370,https://site.api.espn.com/apis/site/v2/sports/cricket/24370/scoreboard,requires-series-validation
Sri Lanka in Pakistan T20I Series 2026/27,24706,https://site.api.espn.com/apis/site/v2/sports/cricket/24706/scoreboard,requires-series-validation
Bangladesh Women in Australia ODI Series 2026/27,24275,https://site.api.espn.com/apis/site/v2/sports/cricket/24275/scoreboard,requires-series-validation
Australia in South Africa Test Series 2026/27,24201,https://site.api.espn.com/apis/site/v2/sports/cricket/24201/scoreboard,requires-series-validation
Afghanistan v Bangladesh Test Match 2026/27,24800,https://site.api.espn.com/apis/site/v2/sports/cricket/24800/scoreboard,requires-series-validation
ICC Men's T20 World Cup Sub Regional Asia Qualifier B 2026/27,,,missing-provider-slug-do-not-request
West Indies in India T20I Series 2026/27,24287,https://site.api.espn.com/apis/site/v2/sports/cricket/24287/scoreboard,requires-series-validation
ICC Men's T20 World Cup Sub Regional Asia Qualifier A 2026/27,,,missing-provider-slug-do-not-request
CSA Women Pro20 Series 2026/27,,,missing-provider-slug-do-not-request
West Indies Women in Zimbabwe T20I Series 2026,24794,https://site.api.espn.com/apis/site/v2/sports/cricket/24794/scoreboard,requires-series-validation
Indonesial in South Korea T20I Series 2026/27,24804,https://site.api.espn.com/apis/site/v2/sports/cricket/24804/scoreboard,requires-series-validation
CSA Women Pro50 Series 2026/27,,,missing-provider-slug-do-not-request
Pakistan Women's Under-19s T20 Tri-Series 2026/27,,,missing-provider-slug-do-not-request
Australia A Women in India unofficial Test Match 2026/27,24722,https://site.api.espn.com/apis/site/v2/sports/cricket/24722/scoreboard,requires-series-validation
West Indies in India ODI Series 2026/27,24288,https://site.api.espn.com/apis/site/v2/sports/cricket/24288/scoreboard,requires-series-validation
Australia Under-19s in India Youth Test Series 2026/27,24372,https://site.api.espn.com/apis/site/v2/sports/cricket/24372/scoreboard,requires-series-validation
West Indies Women in Zimbabwe ODI Series 2026,24795,https://site.api.espn.com/apis/site/v2/sports/cricket/24795/scoreboard,requires-series-validation
Australia in South Africa ODI Series 2026/27,24202,https://site.api.espn.com/apis/site/v2/sports/cricket/24202/scoreboard,requires-series-validation
Sri Lanka in England ODI Series 2026,23800,https://site.api.espn.com/apis/site/v2/sports/cricket/23800/scoreboard,requires-series-validation
India in Japan T20I Match 2026,24745,https://site.api.espn.com/apis/site/v2/sports/cricket/24745/scoreboard,requires-series-validation
Australia A in India unofficial Test Series 2026/27,24374,https://site.api.espn.com/apis/site/v2/sports/cricket/24374/scoreboard,requires-series-validation
Australia A in India unofficial ODI Series 2026/27,24373,https://site.api.espn.com/apis/site/v2/sports/cricket/24373/scoreboard,requires-series-validation
Nigeria Quadrangular T20 Series,,,missing-provider-slug-do-not-request
Australia A Women in India unofficial ODI Series 2026/27,24723,https://site.api.espn.com/apis/site/v2/sports/cricket/24723/scoreboard,requires-series-validation
Hong Kong in Japan T20I Series 2026,24734,https://site.api.espn.com/apis/site/v2/sports/cricket/24734/scoreboard,requires-series-validation
Australia Under-19s in India Youth ODI Series 2026/27,24376,https://site.api.espn.com/apis/site/v2/sports/cricket/24376/scoreboard,requires-series-validation
Sri Lanka in England T20I Series 2026,23801,https://site.api.espn.com/apis/site/v2/sports/cricket/23801/scoreboard,requires-series-validation
Australia in Zimbabwe ODI Series 2026,24302,https://site.api.espn.com/apis/site/v2/sports/cricket/24302/scoreboard,requires-series-validation
United Arab Emirates in Malaysia T20I Series 2026,24747,https://site.api.espn.com/apis/site/v2/sports/cricket/24747/scoreboard,requires-series-validation
Afghanistan in India T20I Series 2026,24676,https://site.api.espn.com/apis/site/v2/sports/cricket/24676/scoreboard,requires-series-validation
Australia A Women in India unofficial T20I Series 2026/27,24724,https://site.api.espn.com/apis/site/v2/sports/cricket/24724/scoreboard,requires-series-validation
South Africa Women in Zimbabwe T20I Series 2026,24564,https://site.api.espn.com/apis/site/v2/sports/cricket/24564/scoreboard,requires-series-validation
Malaysia Women in Japan T20I Series 2026,24736,https://site.api.espn.com/apis/site/v2/sports/cricket/24736/scoreboard,requires-series-validation
CSA 3-Day Series Division 2 2026/27,,,missing-provider-slug-do-not-request
South Africa in Namibia ODI Series 2026,24669,https://site.api.espn.com/apis/site/v2/sports/cricket/24669/scoreboard,requires-series-validation
