sport,league_name,espn_slug,proposed_new_id,work_package,adapter_family,is_college,discovery_url,scoreboard_url,sample_event_id,sample_event_date,sample_file,evidence_level,activation_status,summary_url,summary_probe_http,teams_url,teams_probe_count,standings_url,standings_probe_nonempty,notes
australian-football,AFL,afl,espn:australian-football:afl,W3-new-sports,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=australian-football,https://site.api.espn.com/apis/site/v2/sports/australian-football/afl/scoreboard,1133711,2026-09-26T04:30Z,provider-samples/australian-football--afl.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/australian-football/afl/summary?event=1133711,200,https://site.api.espn.com/apis/site/v2/sports/australian-football/afl/teams,19,https://site.api.espn.com/apis/v2/sports/australian-football/afl/standings,True,
baseball,Caribbean Series,caribbean-series,espn:baseball:caribbean-series,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/caribbean-series/scoreboard,401850934,2026-02-08T01:00Z,provider-samples/baseball--caribbean-series.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/caribbean-series/summary?event=401850934,not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/caribbean-series/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/caribbean-series/standings,not-established,
baseball,NCAA Baseball,college-baseball,espn:baseball:college-baseball,W2-team-and-soccer,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/college-baseball/scoreboard,401874453,2026-06-22T23:00Z,provider-samples/baseball--college-baseball.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/college-baseball/summary?event=401874453,200,https://site.api.espn.com/apis/site/v2/sports/baseball/college-baseball/teams,50,https://site.api.espn.com/apis/v2/sports/baseball/college-baseball/standings,True,
baseball,NCAA Softball,college-softball,espn:baseball:college-softball,W2-team-and-soccer,team-match,true,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/college-softball/scoreboard,401873593,2026-06-05T00:00Z,provider-samples/baseball--college-softball.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/college-softball/summary?event=401873593,200,https://site.api.espn.com/apis/site/v2/sports/baseball/college-softball/teams,50,https://site.api.espn.com/apis/v2/sports/baseball/college-softball/standings,True,
baseball,Dominican Winter League,dominican-winter-league,espn:baseball:dominican-winter-league,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/dominican-winter-league/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/dominican-winter-league/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/dominican-winter-league/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/dominican-winter-league/standings,not-established,
baseball,Little League Baseball,llb,espn:baseball:llb,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/llb/scoreboard,401896846,2026-08-30T14:00Z,provider-samples/baseball--llb.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/llb/summary?event=401896846,not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/llb/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/llb/standings,not-established,
baseball,Little League Softball,lls,espn:baseball:lls,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/lls/scoreboard,401896649,2026-08-09T14:00Z,provider-samples/baseball--lls.json,sample-returned,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/lls/summary?event=401896649,not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/lls/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/lls/standings,not-established,
baseball,Mexican League,mexican-winter-league,espn:baseball:mexican-winter-league,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/mexican-winter-league/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/mexican-winter-league/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/mexican-winter-league/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/mexican-winter-league/standings,not-established,
baseball,Olympics Men's Baseball,olympics-baseball,espn:baseball:olympics-baseball,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/olympics-baseball/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/olympics-baseball/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/olympics-baseball/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/olympics-baseball/standings,not-established,
baseball,Puerto Rican Winter League,puerto-rican-winter-league,espn:baseball:puerto-rican-winter-league,W2-team-and-soccer,team-match,false,https://site.api.espn.com/apis/site/v2/leagues/dropdown?region=us&lang=en&sport=baseball,https://site.api.espn.com/apis/site/v2/sports/baseball/puerto-rican-winter-league/scoreboard,,,,directory-only,requires-validation,https://site.api.espn.com/apis/site/v2/sports/baseball/puerto-rican-winter-league/summary?event={providerEventId},not-tested,https://site.api.espn.com/apis/site/v2/sports/baseball/puerto-rican-winter-league/teams,not-established,https://site.api.espn.com/apis/v2/sports/baseball/puerto-rican-winter-league/standings,not-established,
